Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
[cramped_room s8801] steps 518144 sparse20 55.0 potter0 0.55 (301.2s)
[cramped_room s8801] steps 520192 sparse20 54.0 potter0 0.5 (302.4s)
[cramped_room s8801] steps 522240 sparse20 58.0 potter0 0.4 (303.8s)
[cramped_room s8801] steps 524288 sparse20 58.0 potter0 0.3 (305.3s)
[cramped_room s8801] steps 526336 sparse20 54.0 potter0 0.4 (306.5s)
[cramped_room s8801] steps 528384 sparse20 60.0 potter0 0.5 (307.7s)
[cramped_room s8801] steps 530432 sparse20 58.0 potter0 0.5 (308.8s)
[cramped_room s8801] steps 532480 sparse20 58.0 potter0 0.6 (310.0s)
[cramped_room s8801] steps 534528 sparse20 59.0 potter0 0.6 (311.2s)
[cramped_room s8801] steps 536576 sparse20 57.0 potter0 0.55 (312.3s)
[cramped_room s8801] steps 538624 sparse20 59.0 potter0 0.5 (313.6s)
[cramped_room s8801] steps 540672 sparse20 64.0 potter0 0.4 (314.7s)
[cramped_room s8801] steps 542720 sparse20 67.0 potter0 0.3 (315.9s)
[cramped_room s8801] steps 544768 sparse20 64.0 potter0 0.3 (317.4s)
[cramped_room s8801] steps 546816 sparse20 66.0 potter0 0.45 (318.8s)
[cramped_room s8801] steps 548864 sparse20 68.0 potter0 0.4 (320.0s)
[cramped_room s8801] steps 550912 sparse20 65.0 potter0 0.45 (321.1s)
[cramped_room s8801] steps 552960 sparse20 69.0 potter0 0.45 (322.3s)
[cramped_room s8801] steps 555008 sparse20 65.0 potter0 0.45 (323.5s)
[cramped_room s8801] steps 557056 sparse20 63.0 potter0 0.55 (324.9s)
[cramped_room s8801] steps 559104 sparse20 68.0 potter0 0.5 (326.4s)
[cramped_room s8801] steps 561152 sparse20 66.0 potter0 0.4 (327.6s)
[cramped_room s8801] steps 563200 sparse20 76.0 potter0 0.4 (328.7s)
[cramped_room s8801] steps 565248 sparse20 73.0 potter0 0.35 (329.9s)
[cramped_room s8801] steps 567296 sparse20 67.0 potter0 0.45 (331.0s)
[cramped_room s8801] steps 569344 sparse20 65.0 potter0 0.45 (332.2s)
[cramped_room s8801] steps 571392 sparse20 60.0 potter0 0.45 (333.3s)
[cramped_room s8801] steps 573440 sparse20 58.0 potter0 0.55 (334.5s)
[cramped_room s8801] steps 575488 sparse20 64.0 potter0 0.5 (335.6s)
[cramped_room s8801] steps 577536 sparse20 66.0 potter0 0.55 (336.7s)
[cramped_room s8801] steps 579584 sparse20 66.0 potter0 0.5 (337.9s)
[cramped_room s8801] steps 581632 sparse20 76.0 potter0 0.5 (339.4s)
[cramped_room s8801] steps 583680 sparse20 79.0 potter0 0.6 (340.8s)
[cramped_room s8801] steps 585728 sparse20 80.0 potter0 0.6 (341.9s)
